nome_istituzione;provincia;tipo;email_istituzionale;pec;sito_web;linkedin;social;numero_telefono
GIOVANNI FALCONE;Palermo;statale;pavc010006@istruzione.it;pavc010006@pec.istruzione.it;https://www.icsgiovannifalcone.edu.it/;NON PRESENTE;https://www.facebook.com/p/ICS-Giovanni-Falcone-100054595082792/; 0916710763
I.C PRINCIP. ELENA DI NAPOLI-PA;Palermo;statale;paic87400b@istruzione.it;paic87400b@pec.istruzione.it;http://www.icprincipessaelenapa.it/;NON PRESENTE;https://www.facebook.com/principessaelenadinapoli/?locale=it_IT;091403353
"I.C. ""ALFONSO GIORDANO""";Palermo;statale;paic81600b@istruzione.it;paic81600b@pec.istruzione.it;https://www.iclercarafriddi.edu.it/;NON PRESENTE;NON PRESENTE;091 825 1147
I.C. ABBA /ALIGHIERI -PA;Palermo;statale;paic89900q@istruzione.it;paic89900q@pec.istruzione.it;http://abbaalighieri.edu.it/;NON PRESENTE;https://www.instagram.com/icabbaalighieri/;091 637 4806
I.C. ALBERICO GENTILI -PA;Palermo;statale;paic8an00g@istruzione.it;paic8an00g@pec.istruzione.it;http://www.icsalbericogentilipalermo.edu.it/;NON PRESENTE;NON PRESENTE;091 625 1761
I.C. ALIA/ROCCAPALUMBA/VALLEDOL;Palermo;statale;paic82800n@istruzione.it;paic82800n@pec.istruzione.it;https://www.icaliaroccapalumbavalledolmo.edu.it/;NON PRESENTE;https://www.facebook.com/Icaliaroccapalumbavalledolmo/?locale=it_IT; 0918214328
I.C. ALTAVILLA MILICIA;Palermo;statale;paic811008@istruzione.it;paic811008@pec.istruzione.it;https://www.icsgagliano.edu.it/;NON PRESENTE;https://www.facebook.com/istitutocomprensivostatalealtavillamilicia;091 952224
I.C. ANTONINO CAPONNETTO -PA;Palermo;statale;paic847003@istruzione.it;paic847003@pec.istruzione.it;https://www.iccaponnetto.edu.it/;NON PRESENTE;https://www.facebook.com/people/Ics-A-Caponnetto-Palermo/100064139709702/;091 533124
I.C. BAGHERIA - T. AIELLO;Palermo;statale;paic83600l@istruzione.it;paic83600l@pec.istruzione.it;http://www.ictaiello.it/;NON PRESENTE;NON PRESENTE;091 902866
I.C. BAGHERIA- IGNAZIO BUTTITTA;Palermo;statale;paic86500l@istruzione.it;paic86500l@pec.istruzione.it;https://www.icsbuttitta.it/;NON PRESENTE;https://www.facebook.com/icsbuttitta/?locale=it_IT;091943343
I.C. BEATO DON PINO PUGLISI;Palermo;statale;paic817007@istruzione.it;paic817007@pec.istruzione.it;http://www.icspuglisi.edu.it/;NON PRESENTE;https://www.facebook.com/ics.puglisi.5;091 630 7402
I.C. CALTAVUTURO -G. ODDO;Palermo;statale;paic81900v@istruzione.it;paic81900v@pec.istruzione.it;https://istitutocomprensivooddo.edu.it/;NON PRESENTE;NON PRESENTE; 0921541196
I.C. CAMPOREALE;Palermo;statale;paic840008@istruzione.it;paic840008@pec.istruzione.it;https://icleonardosciascia.edu.it/;NON PRESENTE;https://www.facebook.com/pages/Istituto%20Comprensivo%20Camporeale/612724848923218/#;0924 37397
I.C. CASTELDACCIA;Palermo;statale;paic84200x@istruzione.it;paic84200x@pec.istruzione.it;https://www.iccasteldaccia.edu.it/;NON PRESENTE;NON PRESENTE;091954299
I.C. CASTELLANA S. /POLIZZI G.;Palermo;statale;paic820003@istruzione.it;paic820003@pec.istruzione.it;https://ic-castellanapolizzi.edu.it/;NON PRESENTE;NON PRESENTE;0921562586
I.C. CEFALU' - NICOLA BOTTA;Palermo;statale;paic8aj008@istruzione.it;paic8aj008@pec.istruzione.it;https://www.icbottacefalu.edu.it/;NON PRESENTE;NON PRESENTE;0921 421065
I.C. CERDA- L. PIRANDELLO;Palermo;statale;paic82900d@istruzione.it;paic82900d@pec.istruzione.it;https://www.istitutocomprensivocerda.edu.it/;NON PRESENTE;https://www.facebook.com/profile.php?id=1614056632249420&_rdr;0916156360
I.C. CIMINNA -DON RIZZO;Palermo;statale;paic812004@istruzione.it;paic812004@pec.istruzione.it;https://icciminna.edu.it/;NON PRESENTE;https://www.facebook.com/icsdonrizzociminna;091 820 4487
I.C. DE GASPERI-PECORARO;Palermo;statale;paic8bt00e@istruzione.it;paic8bt00e@pec.istruzione.it;https://www.icsdegasperipecoraro.edu.it/;NON PRESENTE;https://www.facebook.com/p/Direzione-Didattica-Alcide-De-Gasperi-PA-61550741861404/;091 513992
I.C. FALCONE /FONDO RAFFO -PA;Palermo;statale;paic86900x@istruzione.it;paic86900x@pec.istruzione.it;https://www.icsgiovannifalcone.edu.it/;NON PRESENTE;https://www.facebook.com/p/ICS-Giovanni-Falcone-100054595082792;091 671 0763
I.C. G. DI VITTORIO -PA;Palermo;statale;paic85200e@istruzione.it;paic85200e@pec.istruzione.it;http://www.icsdivittorio.edu.it/;NON PRESENTE;https://www.facebook.com/icsdivittorio/;091 621 6635
I.C. G. FALCONE - CARINI -;Palermo;statale;paic8bc00e@istruzione.it;paic8bc00e@pec.istruzione.it;http://www.icsfalconecarini.edu.it/;NON PRESENTE;https://www.facebook.com/p/Istituto-Comprensivo-Statale-G-Falcone-Carini-PA-100075929215166/;091 866 1302
I.C. G. MARCONI-GARZILLI;Palermo;statale;paic89300r@istruzione.it;paic89300r@pec.istruzione.it;https://www.icsmarconipalermo.edu.it/;NON PRESENTE;https://www.facebook.com/IcsMarconi;0916255080
I.C. GIOTTO /CIPOLLA;Palermo;statale;paic8am00q@istruzione.it;paic8am00q@pec.istruzione.it;https://www.icsgiottocipolla.edu.it/luogo/plesso-michele-cipolla/;NON PRESENTE;https://www.facebook.com/profile.php?id=100076539541638;091 201480
I.C. GIULIANA SALADINO - PA;Palermo;statale;paic897004@istruzione.it;paic897004@pec.istruzione.it;https://www.icgiulianasaladino.edu.it/;NON PRESENTE;https://www.facebook.com/i.c.giulianasaladino;091 673 4993
I.C. GIUSEPPE SCELSA -PA;Palermo;statale;paic8ar00v@istruzione.it;paic8ar00v@pec.istruzione.it;http://www.icscelsa.edu.it/;NON PRESENTE;https://www.facebook.com/p/Giuseppe-Scelsa-ic-61557723324187/;091 765 1898
I.C. L.DA VINCI /G.CARDUCCI -PA;Palermo;statale;paic8ak004@istruzione.it;paic8ak004@pec.istruzione.it;https://www.icdavincicarducci.edu.it/;NON PRESENTE;NON PRESENTE;091 401313
I.C. L.PIRANDELLO/B. ULIVIA -PA;Palermo;statale;paic87300g@istruzione.it;paic87300g@pec.istruzione.it;https://www.icspirandelloborgoulivia.edu.it/;NON PRESENTE;NON PRESENTE;091447736
I.C. LOMBARDO RADICE -PA;Palermo;statale;paic8ad00q@istruzione.it;paic8ad00q@pec.istruzione.it;http://www.icslombardoradice.edu.it/;NON PRESENTE;https://www.facebook.com/ICSLombardoRadicePalermo;091 212637
I.C. M.RAPISARDI /GARIBALDI -PA;Palermo;statale;paic8ap007@istruzione.it;paic8ap007@pec.istruzione.it;http://www.rapisardigaribaldi.it/;NON PRESENTE;https://www.facebook.com/I.C.RapisardiGaribaldiPalermo/;091 340086
I.C. MARGHERITA HACK -PA;Palermo;statale;paic8as004@istruzione.it;paic8as004@pec.istruzione.it;https://www.icmargheritahackpa.it/;NON PRESENTE;NON PRESENTE;091 660 5017
I.C. MICHELANGELO BUONARROTI-PA;Palermo;statale;paic87100x@istruzione.it;paic87100x@pec.istruzione.it;https://www.icsbuonarroti.edu.it/;NON PRESENTE;NON PRESENTE;091221001
I.C. MONREALE - F. MORVILLO;Palermo;statale;paic8a300x@istruzione.it;paic8a300x@pec.istruzione.it;http://icsmorvillo.it/;NON PRESENTE;https://www.facebook.com/icsmorvillo/?locale=it_IT;091 640 5406
I.C. MONTEGRAPPA /R. SANZIO-PA;Palermo;statale;paic8ay003@istruzione.it;paic8ay003@pec.istruzione.it;https://www.montegrappa-sanzio.edu.it/;NON PRESENTE;NON PRESENTE;091484817
I.C. P VIRGILIO MARONE TOMASELL;Palermo;statale;paic8bm00a@istruzione.it;paic8bm00a@pec.istruzione.it;http://www.scuolamediastatalevirgilio.edu.it/;NON PRESENTE;NON PRESENTE;091 511018
I.C. PARTINICO CASSARA' - GUIDA;Palermo;statale;paic88000p@istruzione.it;paic88000p@pec.istruzione.it;https://istitutocomprensivocassara.edu.it/;NON PRESENTE;https://www.facebook.com/iccassaraguida;091 729 6754
I.C. PIANA DEGLI ALBANESI;Palermo;statale;paic88100e@istruzione.it;paic88100e@pec.istruzione.it;http://www.icsskanderbeg.edu.it/;NON PRESENTE;https://www.facebook.com/profile.php?id=61565835704579;091 857 4439
I.C. RENATO GUTTUSO -PA;Palermo;statale;paic855002@istruzione.it;paic855002@pec.istruzione.it;https://www.icsguttusopalermo.edu.it/;NON PRESENTE;https://www.facebook.com/p/IC-Renato-Guttuso-Palermo-100063467802215/?locale=it_IT;091 614 4932
I.C. RETTORE F.EVOLA;Palermo;statale;paic83700c@istruzione.it;paic83700c@pec.istruzione.it;http://icbalestrate.it/;NON PRESENTE;https://www.facebook.com/ic.rettore.f.evola;091 898 0071
I.C. ROSARIO LIVATINO;Palermo;statale;paic8a500g@istruzione.it;paic8a500g@pec.istruzione.it;https://www.icrosariolivatino.edu.it/;NON PRESENTE;https://www.facebook.com/istitutocomprensivorosariolivatinoficarazzi;091 636 0746
I.C. RUSSO / RACITI - PA;Palermo;statale;paic8az00v@istruzione.it;paic8az00v@pec.istruzione.it;https://www.icrussoraciti.it/accessibile/;NON PRESENTE;https://www.facebook.com/p/IC-Russo-Raciti-Palermo-100047317400593/;091 311151
I.C. SANTA FLAVIA - K. WOJTYLA;Palermo;statale;paic88500t@istruzione.it;paic88500t@pec.istruzione.it;http://icssantaflavia.it/;NON PRESENTE;https://www.facebook.com/profile.php?id=100063472725110;091 947060
I.C. SCINA'/COSTA -PA;Palermo;statale;paic8ac00x@istruzione.it;paic8ac00x@pec.istruzione.it;http://icscina-costa.it/;NON PRESENTE;https://www.facebook.com/profile.php?id=100064015954588#;091 486725
I.C. SIRAGUSA;Palermo;statale;paic8bp00t@istruzione.it;paic8bp00t@pec.istruzione.it;https://www.ddalessandrasiragusa.edu.it/;NON PRESENTE;https://www.facebook.com/profile.php?id=61581182437060; 0916711192
I.C. UDITORE /SETTI CARRARO -PA;Palermo;statale;paic8aq003@istruzione.it;paic8aq003@pec.istruzione.it;https://www.icsuditoresetticarraro.it/;NON PRESENTE;NON PRESENTE;091 205442
I.C.PEREZ-M.TERESA DI CALCUTTA;Palermo;statale;paic81300x@istruzione.it;paic81300x@pec.istruzione.it;https://www.icsperezcalcutta.edu.it/;NON PRESENTE;https://www.facebook.com/groups/858221124634550/;091 617 2218
"I.C.S "" MATTARELLA -BONAGIA""";Palermo;statale;paic892001@istruzione.it;paic892001@pec.istruzione.it;https://www.icmattarellabonagia.it/;NON PRESENTE;NON PRESENTE;091 444138
I.C.S GUASTELLA - LANDOLINA;Palermo;statale;paic8bw002@istruzione.it;paic8bw002@pec.istruzione.it;http://www.scuolacosmoguastella.edu.it/;NON PRESENTE;https://www.facebook.com/p/ICS-Guastella-Landolina-61570451566080/?locale=it_IT;091 894 3780
I.C.S. FALCONE E BORSELLINO;Palermo;statale;paic84900p@istruzione.it;paic84900p@pec.istruzione.it;http://icbagheriaaspra.edu.it/;NON PRESENTE;https://www.facebook.com/groups/1851367155089904/?locale=it_IT;091 943333
I.C.S. MARGHERITA DI NAVARRA;Palermo;statale;paic85800d@istruzione.it;paic85800d@pec.istruzione.it;https://www.icsmargheritadinavarra.edu.it/;NON PRESENTE;https://www.facebook.com/icsnavarramonreale;091 382 5217
I.C.S. PADRE PINO PUGLISI;Palermo;statale;paic87200q@istruzione.it;paic87200q@pec.istruzione.it;http://www.icspuglisi.edu.it/;NON PRESENTE;https://www.facebook.com/ics.puglisi.5;091 630 7402
I.C.S. RAGUSA MOLETI;Palermo;statale;paic8br00d@istruzione.it;paic8br00d@pec.istruzione.it;https://www.icsragusamoleti.edu.it/;NON PRESENTE;https://www.facebook.com/p/Istituto-Comprensivo-Ragusa-Moleti-61567754205741/;091 485984
I.C.S. TRAINA;Palermo;statale;paic8bv006@istruzione.it;paic8bv006@pec.istruzione.it;https://www.direzionetrainamisilmeri.edu.it/;NON PRESENTE;https://www.facebook.com/profile.php?id=61570034275648;091 872 1264
I.C.S.GIUSEPPE JATO/S.CIPIRELLO;Palermo;statale;paic884002@istruzione.it;paic884002@pec.istruzione.it;https://scuoledellojato.edu.it/;NON PRESENTE;https://www.facebook.com/profile.php?id=61583833443434;0918579953
I.C.S.GUGLIELMO II;Palermo;statale;paic86400r@istruzione.it;paic86400r@pec.istruzione.it;https://www.icsguglielmosecondo.edu.it/;NON PRESENTE;https://www.facebook.com/groups/1704910783072082/?locale=it_IT;0916404489
I.I.S.S. LERCARA FRIDDI;Palermo;statale;pais01100c@istruzione.it;pais01100c@pec.istruzione.it;https://www.iislercarafriddi.edu.it/;NON PRESENTE;https://www.facebook.com/iislercarafriddi/?locale=it_IT;091 821 3969
"I.P.S.S.E.O.A. ""PIETRO PIAZZA""";Palermo;statale;parh02000a@istruzione.it;parh02000a@pec.istruzione.it;https://www.ipsseoapiazza.edu.it/;NON PRESENTE;https://www.facebook.com/IstitutoPiazzaPalermo/;091 610 1012
IC DE AMICIS - DA VINCI;Palermo;statale;paic8bf002@istruzione.it;paic8bf002@pec.istruzione.it;https://www.icdeamicisdavinci.edu.it/;https://www.linkedin.com/company/direzione-didattica-de-amicis-palermo/;https://www.facebook.com/deamicispa/;091 6814341
ICS R.BORSELLINO;Palermo;statale;paic89800x@istruzione.it;paic89800x@pec.istruzione.it;http://icsritaborsellino.edu.it/;NON PRESENTE;https://www.instagram.com/icsritaborsellino/;091 616 4473
IIS - LUIGI FAILLA TEDALDI;Palermo;statale;pais00700r@istruzione.it;pais00700r@pec.istruzione.it;http://iistedaldi.edu.it/;NON PRESENTE;https://www.facebook.com/p/IIS-Luigi-Failla-Tedaldi-100064103551720/?locale=it_IT;0921 671453
IM REGINA MARGHERITA;Palermo;statale;papm04000v@istruzione.it;papm04000v@pec.istruzione.it;https://www.liceoreginamargherita.edu.it/;NON PRESENTE;https://www.facebook.com/liceocoreuticoreginamargherita/;091 334424
IS DON G. COLLETTO;Palermo;statale;pais00900c@istruzione.it;pais00900c@pec.istruzione.it;https://www.doncolletto.edu.it/;NON PRESENTE;https://www.facebook.com/p/IISS-DON-Giovanni-Colletto-100095188653823/;091 846 4242
IS DUCA ABRUZZI - E. PARETO;Palermo;statale;pais04400q@istruzione.it;pais04400q@pec.istruzione.it;https://www.isducaeinaudipareto.edu.it/;NON PRESENTE;https://www.facebook.com/DucaEinaudiPareto;091515921
IS G. UGDULENA;Palermo;statale;pais00100t@istruzione.it;pais00100t@pec.istruzione.it;http://www.istitutougdulena.it/;NON PRESENTE;https://www.facebook.com/p/Liceo-Artistico-G-Ugdulena-Termini-Imerese-100063887257488/;091 814 5643
IS MAJORANA;Palermo;statale;pais01600g@istruzione.it;pais01600g@pec.istruzione.it;http://majoranapa.edu.it/;NON PRESENTE;https://www.instagram.com/istituto_majorana/;091518094
ISTITUTO GONZAGA;Palermo;paritaria;segreteria@gonzagapalermo.it;NON PRESENTE;https://gonzagacampus.it/;NON PRESENTE;https://www.facebook.com/gonzagacampuspalermo;091 302093
ISTITUTO KEYNES - ANCELLE;Palermo;paritaria;NON PRESENTE;NON PRESENTE;https://www.keynesinstitute.it/;https://www.linkedin.com/company/keynes-institute/;https://www.facebook.com/keynesinstitutepalermo;091 778 4123
ISTITUTO MAGISTRALE DI CACCAMO;Palermo;statale;papm12000e@istruzione.it;papm12000e@pec.istruzione.it;http://liceomagistralepanzecacaccamo.edu.it/;NON PRESENTE;https://www.facebook.com/p/Liceo-delle-Scienze-Umane-di-Caccamo-100049008466955/?locale=it_IT;091 812 1377
ISTITUTO MARCELLINO CORRADINO;Palermo;paritaria;casageneralizia@libero.it;NON PRESENTE;NON PRESENTE;NON PRESENTE;https://www.facebook.com/IstitutoMarcellinoCorradini?locale=it_IT;091 409094
ISTITUTO SUPERIORE DANILO DOLCI;Palermo;statale;pais021003@istruzione.it;pais021003@pec.istruzione.it;https://www.isdanilodolci.edu.it/;NON PRESENTE;https://www.facebook.com/iisDaniloDolci/;091 890 1103
ISTITUTO SUPERIORE STATALE MARIO RUTELLI;Palermo;statale;pais026006@istruzione.it;pais026006@pec.istruzione.it;http://www.istitutosuperiorerutellipa.it/;NON PRESENTE;https://www.facebook.com/ilrutelli/;091 668 4134
International Montessori Institute - Plesso Immacolata Concezione;Palermo;paritaria;pa1e02900t@istruzione.it;pa1e02900t@pec.istruzione.it;http://ecoscuolamontessori.com/;NON PRESENTE;https://www.facebook.com/ecoscuolamontessori/;091 891 7680
JACOPO DEL DUCA - DIEGO BIANCA AMATO;Palermo;statale;pais02200v@istruzione.it;pais02200v@pec.istruzione.it;http://www.delduca-biancaamato.it/;NON PRESENTE;https://www.facebook.com/ducamato/;0921 421415
L. STAT. FELICIA E PEPPINO IMPASTATO;Palermo;statale;paps080008@istruzione.it;paps080008@pec.istruzione.it;https://www.liceostatalefeliciaepeppinoimpastato.edu.it/;NON PRESENTE;https://www.facebook.com/LiceoImpastato/?locale=it_IT;0918780462
LICEO GINNASIO DI STATO (F. SCADUTO);Palermo;statale;papc01000v@istruzione.it;papc01000v@pec.istruzione.it;http://www.liceoscadutobagheria.it/;NON PRESENTE;https://www.facebook.com/LiceoGinnasioScaduto;091 961359
"LICEO SCIENTIFICO STATALE ""S.CANNIZZARO""";Palermo;statale;paps02000l@istruzione.it;paps02000l@pec.istruzione.it;https://liceocannizzaropalermo.edu.it/;NON PRESENTE;https://www.instagram.com/liceocannizzaro.pa/;091 347266
LICEO SCIENTIFICO STATALE NICOLO' PALMERI;Palermo;statale;paps24000g@istruzione.it;paps24000g@pec.istruzione.it;https://www.liceopalmeri.edu.it/;NON PRESENTE;https://www.facebook.com/p/Liceo-Scientifico-N-Palmeri-100057641133023/?locale=it_IT;091 814 4145
MANDRALISCA;Palermo;statale;pais00200n@istruzione.it;pais00200n@pec.istruzione.it;https://www.iismandralisca.edu.it/;NON PRESENTE;https://www.facebook.com/iismandralisca;0921 421695
MANERI INGRASSIA-DON MILANI;Palermo;statale;paic8bb00p@istruzione.it;paic8bb00p@pec.istruzione.it;https://www.icmaneriingrassiadonmilani.it/;NON PRESENTE;NON PRESENTE;091475229
MARIA AUSILIATRICE;Palermo;paritaria;NON PRESENTE;NON PRESENTE;NON PRESENTE;NON PRESENTE;https://www.facebook.com/mariaausiliatricepalermo/;091 661 8709
MELI;Palermo;statale;papc030004@istruzione.it;papc030004@pec.istruzione.it;http://www.liceomelipalermo.it/;https://it.linkedin.com/in/rita-manuela-betta-62135378;https://www.facebook.com/gibi253/;091 688 4720
S.ANNA;Palermo;paritaria;segreteria.santanna@alice.it;NON PRESENTE;https://istsantannapa.edu.it/;NON PRESENTE;https://www.facebook.com/congregazionefigliedisanna/?locale=it_IT;0916516678
THOMAS MORE;Palermo;paritaria;NON PRESENTE;NON PRESENTE;http://www.scuolathomasmore.it/;NON PRESENTE;https://www.facebook.com/ScuolaThomasMore;091 611 91 92
UGO MURSIA;Palermo;statale;pais004009@istruzione.it;pais004009@pec.istruzione.it;http://www.iismursia.edu.it/;NON PRESENTE;https://www.facebook.com/istitutougomursia/;091 868 8072
VITTORIO EMANUELE II;Palermo;statale;papc11000q@istruzione.it;papc11000q@pec.istruzione.it;https://www.liceovittorioemanuelepa.edu.it/;NON PRESENTE;https://www.facebook.com/orienta.live.pa/;091 581942
IC - A. MANZONI;Agrigento;statale;agic841006@istruzione.it;agic841006@pec.istruzione.it;https://www.icmanzoniadr.edu.it/;NON PRESENTE;https://www.facebook.com/icmanzoniadr/?locale=it_IT;0922 981041
IC - A. MANZONI;Agrigento;statale;agic812006@istruzione.it;agic812006@pec.istruzione.it;NON PRESENTE;NON PRESENTE;NON PRESENTE;
IC - ANDREA CAMILLERI;Agrigento;statale;agic85800g@istruzione.it;agic85800g@pec.istruzione.it;https://www.icandreacamilleri.edu.it/;NON PRESENTE;https://www.facebook.com/i.c.bersagliereursomendola;0922 420792
IC - DANTE ALIGHIERI;Agrigento;statale;agic84400n@istruzione.it;agic84400n@pec.istruzione.it;http://www.icdantealighierisciacca.edu.it/;NON PRESENTE;https://www.facebook.com/icdantealighierisciacca;0925 21476
IC - DE COSMI;Agrigento;statale;agic85200l@istruzione.it;agic85200l@pec.istruzione.it;http://www.icdecosmicasteltermini.edu.it/;NON PRESENTE;https://www.facebook.com/p/IC-De-Cosmi-Casteltermini-100076563365443/;0922 916471
IC - DON BOSCO;Agrigento;statale;agic85600x@istruzione.it;agic85600x@pec.istruzione.it;https://www.icdonboscoribera.edu.it/;NON PRESENTE;https://www.facebook.com/p/Istituto-Comprensivo-Don-Bosco-Navarro-Ribera-Ag-100042657711105/?locale=it_IT;0925 61281
IC - ESSENETO;Agrigento;statale;agic82200r@istruzione.it;agic82200r@pec.istruzione.it;https://www.scuolaicesseneto.edu.it/;NON PRESENTE;NON PRESENTE;092222988
IC - FALCONE - BORSELLINO;Agrigento;statale;agic86100b@istruzione.it;agic86100b@pec.istruzione.it;https://www.scuolafalconeborsellino.edu.it/;NON PRESENTE;https://www.facebook.com/groups/1588687001346993/;0922 32634
IC - FRANCESCO GIORGIO;Agrigento;statale;agic848001@istruzione.it;agic848001@pec.istruzione.it;http://www.icfrancescogiorgio.edu.it/;NON PRESENTE;https://www.facebook.com/p/Istituto-Comprensivo-F-Giorgio-100063647468220/;0922 183 7367
IC - G. GARIBALDI;Agrigento;statale;agic819001@istruzione.it;agic819001@pec.istruzione.it;https://www.icagrigentocentro.edu.it/;NON PRESENTE;https://www.facebook.com/Lauricella.Garibaldi.Pirandello;0922 20786
IC - GIACOMO LEOPARDI;Agrigento;statale;agic833007@istruzione.it;agic833007@pec.istruzione.it;https://www.istitutocomprensivoleopardi.edu.it/;NON PRESENTE;https://www.facebook.com/ICS.LEOPARDI;0922892766
IC - L. CAPUANA;Agrigento;statale;agic846009@istruzione.it;agic846009@pec.istruzione.it;https://www.iccapuanaaragona.it/;NON PRESENTE;NON PRESENTE;092236422
IC - L. PIRANDELLO;Agrigento;statale;agic81000e@istruzione.it;agic81000e@pec.istruzione.it;https://www.icpirandellope.it/;NON PRESENTE;https://www.facebook.com/icpirandellope;0922 25302
IC - LIVATINO;Agrigento;statale;agic86400v@istruzione.it;agic86400v@pec.istruzione.it;https://www.icrosariolivatinoportoempedocle.edu.it/home.html;NON PRESENTE;NON PRESENTE;0922 634355
IC - MARIANO ROSSI;Agrigento;statale;agic84500d@istruzione.it;agic84500d@pec.istruzione.it;http://www.icmarianorossi.edu.it/;NON PRESENTE;https://www.facebook.com/IstitutoComprensivoMarianoRossi;0925 21263
IC - MARIO RAPISARDI;Agrigento;statale;agic82900g@istruzione.it;agic82900g@pec.istruzione.it;https://www.icrapisardi.edu.it/;NON PRESENTE;https://www.facebook.com/groups/221476684647747/;0922 424793
IC - S. BIVONA;Agrigento;statale;agic83600p@istruzione.it;agic83600p@pec.istruzione.it;https://www.icsantibivona.edu.it/;NON PRESENTE;https://www.facebook.com/pirandelpanepinto/?locale=it_IT;0925 71895
IC G. PHILIPPONE GIOVANNI XXIII;Agrigento;statale;agic818005@istruzione.it;agic818005@pec.istruzione.it;https://ic-philippone.edu.it/;NON PRESENTE;NON PRESENTE;0922 903041
IIS - AMBROSINI - M.L. KING;Agrigento;statale;agis02800x@istruzione.it;agis02800x@pec.istruzione.it;https://www.alberghierofavara.edu.it/;NON PRESENTE;https://www.facebook.com/mlking.liceo/?locale=it_IT;0922 34285
IIS - CALOGERO AMATO VETRANO;Agrigento;statale;agis01200a@istruzione.it;agis01200a@pec.istruzione.it;http://amatovetranosciacca.edu.it/;NON PRESENTE;https://www.facebook.com/iissamatovetrano/?locale=it_IT;0925 992116
IIS - DON MICHELE ARENA;Agrigento;statale;agis01600n@istruzione.it;agis01600n@pec.istruzione.it;https://www.iissarena.edu.it/;NON PRESENTE;https://www.facebook.com/iissdonmichelearena/?locale=it_IT;0925 22510
